,toxic,not_toxic
2734,"Be on the Planet Of The Apes, you're human but you can't speak or be the first ever monkey on Earth to speak like a human, but you're a monkey?","being on the Planet of the Apes, as a person, but not able to talk or be the first monkey on the ground as a human, but to be a monkey."
2735,You told our intimate secrets to some lip-licking bastard?,you told him all our secrets about our intimate life.
2736,I'll get animals to piss on you.,I'll get some animals.
2737,Karma and I are faking being lesbians.,karma and I pretend to be lesbians.
2738,"You can have a seizure, go psychotic, and probably die.","you could have seizures, delusional, and probably die."
2739,"Each one a junkie, and each junkie a snitch.","one on each junket, and every junta is a snitch."
2740,"fools live longer than we do, for they have nothing to worry about.","Lunatics live longer than us, 'cause they don't worry about anythin"
2741,"One night there was a robbery in our village, then we came to know that he's blind, And he yells aal iz well, aal iz well And we used to sleep like fools...","one night a thief came to the city, and when he knew it was dark, though he was shouting aal iz well, aal iz well and we slept on like a log."
2742,"What we've got here in Boulder right now is mass confusion, everyone bopping along and doing his own thing . . . and we've got to do something about what my students would have called `getting our shit together.","what's here in Boulder is mass chaos, everybody runs on their own and does your things... and we should start doing something to ""put it in the puck,"" as my students would say."
2743,"so tell me, why do I do this fucking TV show when I have to make movies?",Why am I doing this lame-ass TV show when I should be doing movies?
2744,even with the pussy who played the sexy nurse?,Even the chick who played the hot nurse?
2745,"if you do, you know you're going to kill the real Hugo Miller.","If you do this, you know you'll be killing the real Hugo Miller?"
2746,Men like these ripped her life from her.',"men like these rid her of life. """
2747,"the PGA has two black punches, and CrowFlight has a wheel.","A PGA has two black dots, and a CrowFlight has a circle."
2748,Spoken like a true cynic.,a real cynic spoke.
2749,"we're making a mistake if Buggy Ding Donga is involved, he's crazy!",Going in with Buggy Ding Dong's a mistake!
2750,you have enough to buy yourself a virgin.,You have enough to buy an estate.
2751,"I remember when I was, like, a skinny black figure, walking on a slick, shiny sidewalk, even for a strange sense of alienation that made me look like a poor fool, the dirty business of ""town...""","I remember myself as a gaunt black figure, going along the slippery, shiny pavement, and the strange sense of detachment I felt from the squalid respectability, the sordid commercialism of the place."
2752,'Won't stop the Tenescowri from lopping off your head for the pot!','but the Tenescowri is not going to keep you from sticking your head in the cauldron! '
2753,"And he's not gay, he's androgynous.",and he's not gay. He's straight.
2754,Unless they cut open the queen's belly to release it.,the baby is likely to die if the Queen doesn't open her belly to exempt him.
2755,"What we do, you know, the shit that we carry with us from one life to the next, maybe there's a plan that includes all of us- you and me and my grandparents, and we just don't know it.","what we do, what we do between lives, maybe there's a plan for all of us, for all of us, for grandparents, and we don't even know about it?"
2756,"Oh, that doesn't mean shit.",it doesn't mean anything.
2757,not in the balls!,Not the bollocks!
2758,This is ridiculous.,it's comical.
2759,I'll deal with those old fool.,I'll deal with this old man.
2760,"I drink to all the kisses I've ever fucked up, and vice versa.",Here's to all of the kisses I've snatched and vice-versa.
2761,"Heh heh, you gonna get killed tonight, buddy.","let's get you tonight, buddy."
2762,"“Shuck it,” Alby said, rubbing his eyes.","""fracas,"" Alby said, rubbing his eyes."
2763,Joe would never associate with this Black Hand.,Joe was not in touch with the Black Hand.
2764,"Let him rot out there till morning, or let him call someone else.","just let him wait till morning, or he'll call someone else."
2765,"what the hell are we doing, cops?",What are we doing? We are police officers.
2766,I'm just a lump of meat.,I'm a meat popsicle.
2767,"he was an elf, a little short, and his shaggy-yellow hair was flowing down around his fat face, dotted around him and there.","He was an Elf, rather small, his tousled, sand-colored hair falling down about a rather ordinary face that displayed a light sprinkling of freckles."
2768,"how are you?....... .Those filthy, sticky-scented cans of stale oil?","How are thou. . . . . .thou globby bottle of cheap,stinking chip-oil?"
2769,kick-ass zebras saves her life.,(Man) The zebra's kick saves its life.
2770,You're mad Turk didn't trust you enough to say.,you're mad at Turk for not trusting you to tell you.
2771,"She doesn't really care about that shit, you know, the noise and the magazines.",she has the stuff about the noise and the magazine in hand.
2772,We've made fools of ourselves before.,we've embarrassed ourselves before.
2773,"""Yes, simpleton as I was!--but I am quite ashamed of it now, and wish I could forget as easily as I can burn them.","'yes, I was a goose - but now I'm ashamed of it, and I just wish I could easily forget as easily as I can burn them easily."
2774,"We've found no trace on any of your imaging, so we need to cut your head open.","we haven't found any leads on any of your scans, so we have to open your head."
2775,"You're the fourth man, fink.","you're the fourth man, punk."
2776,"You've gotta make them think ""This is not fucking worth it.""",you have to make them think it's not worth it.
2777,"If you will not, then I will fight you.","if you don't want to, then I'll fight with you."
2778,she won't forget how I fucked her.,She won't forget that reaming I gave her.
2779,Zod will fly psychopathic circles around you.,Zod will fly around in psychopathic circles.
2780,"And since when do we go bugfuck about technology?""","and since when do we act out of technology? """
2781,"come on, let's go home so I can rip your pants off.","Come on, let's go home so I can tear off those little pants."
2782,are we going to see my parents...... to kill them while they protect you?,"We're headed to my parents' place, so they can... Get hurt or killed trying to protect you?"
2783,isn't serrano a Spanish fart?,Isn't serrano ham the prosciutto of Spain?
2784,"shut up, Miljan.","Shut (Bleep) up, Miljan."
2785,"Look, I'm a janitor at American Calculator in the Empire State Building, and I found this is someone's trash.","look, I'm a reporter at the American Calculator at the Empire State Building, and I found this in someone in a basket."
2786,And Denise drove up like she wanted to kill somebody she was so mad.,and Denise freaked out like she wanted to twist someone's neck.
2787,because you took my virginity.,Why took my virginity ... ...
2788,brick's talking to a girl and mom's crazy.,"Brick's talking to a girl, and mom's losing her mind."
2789,You bring shame to your mother and me.,you've embarrassed your mother and me!
2790,"and, as artists, we live in Springfield's most ridiculous ocean...","And as artists, we live in Springfield's most artistic borough..."
